"SID","entry","evaluation","replacement"
"883631457","lizard","FOUND","lizard"
"883631457","cat","FOUND","cat"
"883631457","hawk","FOUND","hawk"
"883631457","dog","FOUND","dog"
"883631457","turtle","FOUND","turtle"
"883631457","jellyfish","FOUND","jellyfish"
"883631457","bear","FOUND","bear"
"883631457","ant","FOUND","ant"
"883631457","mosquito","FOUND","mosquito"
"883631457","frog","FOUND","frog"
"883631457","tadpole","FOUND","tadpole"
"883631457","fish","FOUND","fish"
"883631457","shark","FOUND","shark"
"883631457","dolphin","FOUND","dolphin"
"883631457","gorilla","FOUND","gorilla"
"883631457","monkey","FOUND","monkey"
"883631457","fly","FOUND","fly"
"883631457","eagle","FOUND","eagle"
"883631457","toad","FOUND","toad"
"883631457","rat","FOUND","rat"
"883631457","mouse","FOUND","mouse"
"883631457","gerbil","REPLACE","mouse"
"883631457","groundhog","REPLACE","woodchuck"
"883631457","fox","FOUND","fox"
"883631457","raccoon","REPLACE","possum"
"883631457","deer","FOUND","deer"
"883631457","squirrel","FOUND","squirrel"
"883631457","rabbit","FOUND","rabbit"
"883631457","bluejay","REPLACE","bluebird"
"528353180","peacock","FOUND","peacock"
"528353180","giraffe","REPLACE","zebra"
"528353180","elephant","FOUND","elephant"
"528353180","zebra","FOUND","zebra"
"528353180","horse","FOUND","horse"
"528353180","cat","FOUND","cat"
"528353180","dog","FOUND","dog"
"528353180","iguana","REPLACE","lizard"
"528353180","turtle","FOUND","turtle"
"528353180","dolphin","FOUND","dolphin"
"528353180","penguin","FOUND","penguin"
"528353180","buffalo","FOUND","buffalo"
"528353180","kangaroo","FOUND","kangaroo"
"528353180","goose","FOUND","goose"
"528353180","duck","FOUND","duck"
"528353180","swan","FOUND","swan"
"528353180","monkey","FOUND","monkey"
"528353180","chimp","REPLACE","shrimp"
"528353180","lion","FOUND","lion"
"528353180","tiger","FOUND","tiger"
"956268845","cat","FOUND","cat"
"956268845","dog","FOUND","dog"
"956268845","iguana","REPLACE","lizard"
"956268845","wombat","REPLACE","woman"
"956268845","goat","FOUND","goat"
"956268845","platypus","REPLACE","otter"
"956268845","bear","FOUND","bear"
"956268845","firefly","FOUND","firefly"
"956268845","fly","FOUND","fly"
"956268845","ant","FOUND","ant"
"956268845","bird","FOUND","bird"
"956268845","eagle","FOUND","eagle"
"956268845","moose","FOUND","moose"
"956268845","deer","FOUND","deer"
"956268845","mouse","FOUND","mouse"
"956268845","duck","FOUND","duck"
"956268845","crow","FOUND","crow"
"956268845","frog","FOUND","frog"
"956268845","tadpole","FOUND","tadpole"
"956268845","caterpillar","FOUND","caterpillar"
"956268845","butterfly","FOUND","butterfly"
"956268845","moth","FOUND","moth"
"956268845","gorilla","FOUND","gorilla"
"956268845","monkey","FOUND","monkey"
"956268845","horse","FOUND","horse"
"332053124","cat","FOUND","cat"
"332053124","lion","FOUND","lion"
"332053124","tiger","FOUND","tiger"
"332053124","dog","FOUND","dog"
"332053124","hamster","REPLACE","mouse"
"332053124","gerbil","REPLACE","mouse"
"332053124","sheep","FOUND","sheep"
"332053124","horse","FOUND","horse"
"332053124","pig","FOUND","pig"
"332053124","goat","FOUND","goat"
"332053124","pony","FOUND","pony"
"332053124","peacock","FOUND","peacock"
"332053124","bird","FOUND","bird"
"332053124","lion","FOUND","lion"
"332053124","lamb","FOUND","lamb"
"332053124","elephant","FOUND","elephant"
"332053124","chicken","FOUND","chicken"
"332053124","rooster","FOUND","rooster"
"891411190","giraffe","REPLACE","zebra"
"891411190","elephant","FOUND","elephant"
"891411190","lion","FOUND","lion"
"891411190","hippo","REPLACE","hippopotamus"
"891411190","bat","FOUND","bat"
"891411190","fish","FOUND","fish"
"891411190","shark","FOUND","shark"
"891411190","turtle","FOUND","turtle"
"891411190","snake","FOUND","snake"
"891411190","dolphin","FOUND","dolphin"
"891411190","whale","FOUND","whale"
"891411190","chicken","FOUND","chicken"
"891411190","cow","FOUND","cow"
"891411190","horse","FOUND","horse"
"891411190","butterfly","FOUND","butterfly"
"891411190","bear","FOUND","bear"
"891411190","deer","FOUND","deer"
"891411190","tiger","FOUND","tiger"
"891411190","flamingo","REPLACE","stork"
"211889642","alligator","FOUND","alligator"
"211889642","octopus","REPLACE","jellyfish"
"211889642","ostrich","FOUND","ostrich"
"211889642","peacock","FOUND","peacock"
"211889642","bear","FOUND","bear"
"211889642","tiger","FOUND","tiger"
"211889642","lion","FOUND","lion"
"211889642","gorilla","FOUND","gorilla"
"211889642","monkey","FOUND","monkey"
"211889642","dog","FOUND","dog"
"211889642","cat","FOUND","cat"
"211889642","hyena","FOUND","hyena"
"211889642","snake","FOUND","snake"
"211889642","fish","FOUND","fish"
"211889642","bird","FOUND","bird"
"211889642","rabbit","FOUND","rabbit"
"211889642","dolphin","FOUND","dolphin"
"211889642","squirrel","FOUND","squirrel"
"211889642","guinea","FOUND","guinea"
"211889642","mouse","FOUND","mouse"
"211889642","lizard","FOUND","lizard"
"211889642","iguana","REPLACE","lizard"
"211889642","crocodile","FOUND","crocodile"
"361143056","elephant","FOUND","elephant"
"361143056","giraffe","REPLACE","zebra"
"361143056","tiger","FOUND","tiger"
"361143056","lion","FOUND","lion"
"361143056","cheetah","REPLACE","leopard"
"361143056","dog","FOUND","dog"
"361143056","cat","FOUND","cat"
"361143056","mouse","FOUND","mouse"
"361143056","rat","FOUND","rat"
"361143056","ostrich","FOUND","ostrich"
"361143056","parakeet","FOUND","parakeet"
"361143056","fish","FOUND","fish"
"361143056","gerbil","REPLACE","mouse"
"361143056","hamster","REPLACE","mouse"
"361143056","guinea","FOUND","guinea"
"361143056","capybara","REPLACE","rodents"
"361143056","zebra","FOUND","zebra"
"361143056","horse","FOUND","horse"
"361143056","tiger","FOUND","tiger"
"361143056","emu","REPLACE","ostrich"
"361143056","elk","FOUND","elk"
"361143056","deer","FOUND","deer"
"361143056","antelope","FOUND","antelope"
"642812588","cat","FOUND","cat"
"642812588","dog","FOUND","dog"
"642812588","fish","FOUND","fish"
"642812588","shark","FOUND","shark"
