Word,Found,Original Found,Close Matches
aardvark,True,False,"harvard, dark"
aardwolf,True,False,"adolf, rudolf, wolf"
abalone,True,False,"alone, malone, ebalon"
abeja,True,False,"abeam, abe, habeas"
addax,True,False,"add, ada, haddan"
adder,True,True,"adder, sadder, madder"
adelgid,True,False,"adelaide, adeline, walid"
adelie penguin,True,False,"deepening, penguin"
aedes aegypti,False,False,No close match found
affenpinscher,True,False,fischer
afghan hound,True,False,afghan
african dog,True,False,"african, africans, africa"
agama,True,False,"panama, agatha, agafea"
agouti,True,False,"ragout, gout, gouty"
airedale terrier,False,False,No close match found
akita,True,False,"anita, kit, dakota"
albacore,True,False,"palace, galore, alcove"
albatross,True,True,"albatross, albatrosses, baroness"
albino python,False,False,No close match found
alga,True,False,"algae, yaga, sala"
alligator,True,True,"alligator, alligators, navigator"
alligator lizard,True,False,"alligator, alligators"
alligator snapping turtle,False,False,No close match found
allosaurus,True,False,"scaurus, callous, valorous"
alpaca,True,True,"alpaca, malacca, apace"
amberjack,True,False,"amber, aback, camera"
amoeba,True,False,"kamba, rameau, pamela"
amphibian,True,False,"amphibious, amphilochians, sampan"
amphioxus,True,False,"amphibious, phrixus, impious"
amphipod,True,False,"camphor, amphibious, amid"
anaconda,True,False,"nanda, panada, canada"
anchovy,True,True,"anchovy, sancho, anchor"
anemone,True,True,"anemone, daemon, anyone"
angelfish,True,False,"elfish, angels, unselfish"
anglerfish,True,False,"angler's, angles, angler"
angora goat,True,False,angora
angora rabbit,False,False,No close match found
anhinga,True,False,"anything, yanina, waning"
ankylosaur,False,False,No close match found
annelid,True,False,"tanned, manned, fanned"
anole,True,False,"anatole, noble, canoe"
ant,True,True,"ant, want, vant"
anteater,True,False,"antipater, theater, eater"
antelope,True,True,"antelope, antelopes, penelope"
antelope squirrel,True,False,antelopes
anthropoid,True,False,"anthropomorphic, manhood, fatherhood"
antlion,True,False,"anton, sanction, antimony"
apatosaurus,True,False,"taurus, rapturous, vapours"
ape,True,True,"ape, tape, rape"
aphid,True,False,"vapid, rapid, phi"
aplysia,True,False,"apulia, polynesia, asia"
appaloosa,True,False,"appeals, laploshka, apples"
apple maggot,True,False,maggot
arachnid,True,False,"rashid, armand, archie"
arapaima,True,False,"arabia, tarpeia, rama"
archaea,True,False,"marchesa, archie, arches"
archeopteryx,True,False,"archery, barchester, rochester"
archosaur,True,False,"marchesa, harcourt, armchair"
arctic char,True,False,"arctic, richard, particular"
arctic fox,True,False,"arctic, narcotic"
argali,True,False,"bargain, regal, again"
armadillo,True,False,"radio, paradiso, barillon"
armyworm,True,False,"armor, armour, armory"
arrowhead dogfish,False,False,No close match found
arrowhead shark,False,False,No close match found
arthropod,True,False,"fatherhood, bathroom, tripod"
ascidians,True,False,"sicilians, indians, asian"
asp,True,True,"asp, wasp, rasp"
ass,True,True,"ass, sass, pass"
assassin bug,True,False,"assassin, assassins, amassing"
auk,True,False,"au, zau, yak"
auklet,True,False,"anklet, anklets, vault"
auroch,True,False,"arch, murdoch, roach"
australopithecine,True,False,"straitened, australian"
avian,True,False,"tavia, kavin, havin"
avocet,True,False,"voice, havoc, avert"
axolotl,True,False,"atoll, aloft, afoot"
babirusa,True,False,"barsad, bairns, babies"
baboon,True,True,"baboon, bamboo, boon"
baby,True,True,"baby, babby, bay"
baca,True,False,"baa, blanca, brac"
bacteria,True,False,"materia, material, katerina"
badger,True,True,"badger, badgers, badge"
bald eagle,True,False,"beagle, bandage, eagle"
baleen whale,False,False,No close match found
banana slug,True,False,"bananas, banana"
bandicoot,True,False,"barnicot, bandit, bandits"
bantam,True,True,"bantam, banta, atam"
bark beetle,True,False,"beetle, bartle, beetles"
barn owl,True,False,"barnwell, barrow, barold"
barnacle,True,False,"tabernacle, brace, barne"
barnacle goose,False,False,No close match found
barracuda,True,False,"barrack, barracks, braced"
barramundi,True,False,"bartram, branding, brand"
barred owl,True,False,"barrow, barrel, barred"
basenji,True,False,"base, ibsen, genji"
basilisk,True,True,"basilisk, basilio, basis"
basking shark,True,False,basking
bass,True,True,"bass, brass, bassi"
basset hound,True,False,"astounded, assertion"
bat,True,True,"bat, brat, boat"
batfish,True,False,"banish, fish, bats"
bay scallop,True,False,scalloped
baya,True,False,"bay, baa, bayham"
beaded lizard,True,False,blizzard
beagle,True,True,"beagle, eagle, beale"
beaked whale,True,False,beadle
bear,True,True,"bear, blear, bears"
bear cub,True,False,"beau, bear, barb"
bearcat,True,False,"brat, bert, beat"
bearded dragon,True,False,"bearded, arragon"
bearded vulture,False,False,No close match found
beaver,True,True,"beaver, beavers, beaver's"
bedbug,True,False,"edinburgh, dug, bug"
bee,True,True,"bee, bete, beet"
bee eater,True,False,"eater, teeter, hereafter"
bee moth,True,False,"seemeth, moth, both"
beef cattle,True,False,"cattle, beetle, battle"
beefalo,True,False,"befal, befall, beef"
beet armyworm,False,False,No close match found
beetle,True,True,"beetle, beetles, leetle"
bellbird,True,False,"bellied, bluebird, belied"
belted kingfisher,True,False,kingfisher
beluga,True,False,"bela, belgian, helga"
beluga whale,True,False,laughable
bengal tiger,True,False,"wealthier, penalties, healthier"
bernese mountain dog,False,False,No close match found
bessbug,True,False,"bess, blessing, bless"
beta fish,True,False,"starfish, establish, elfish"
betta,True,False,"bettina, jetta, brett"
betta fish,True,False,starfish
bettong,True,False,"betting, abetting, button"
bichon,True,False,"icon, icons, brion"
bigeye,True,False,"bingley, oblige, obeyed"
bighorn,True,False,"brighton, horn, born"
bighorn sheep,False,False,No close match found
bilbies,True,False,"lilies, bribes, billie"
bilby,True,False,"milby, billy, bil"
billfish,True,False,"bills, billions, willis"
billy goat,True,False,"billy, bigot"
binturong,True,False,"turon, insuring, injuring"
bird,True,True,"bird, birds, bid"
bison,True,True,"bison, brion, robinson"
biting midge,True,False,biting
bittern,True,True,"bittern, bitter, bitten"
bivalve,True,False,"valve, valves, vale"
black bear,True,False,"blackbeard, blacker, blackboard"
black headed gull,False,False,No close match found
black lab,True,False,"black, blanca, blacky"
black labrador,True,False,"labrador, blackbird, blackguard"
black mamba,True,False,"blackmail, lackman, blackboard"
black panther,True,False,"backwater, panther, blacker"
black squirrel,True,False,"squirrel, squirrels, blackie"
black widow,True,False,"blackwood, blackbird, blackie"
black-capped chickadee,False,False,No close match found
blackbird,True,True,"blackbird, blackbirds, blackboard"
blackbuck,True,False,"black, blacky, blacks"
blackcap,True,False,"black, blanca, blacky"
blackfish,True,False,"blackish, brackish, blacks"
blackfly,True,False,"blacky, blankly, black"
blackpoll,True,False,"blackpool, blackwell, black"
blacktail,True,False,"blackmail, blackie, black"
blacktail deer,True,False,"blackmail, blackie, blacker"
blacktip reef shark,False,False,No close match found
blacktip shark,True,False,blackish
blenny,True,False,"benny, penny, lenin"
blister beetle,True,False,"blistered, obliterate, blister"
blobfish,True,False,"blois, elfish, boyish"
bloodhound,True,False,"bloodhounds, bloodshot, bloodshed"
bloodworm,True,False,"blindworm, bloom, blood"
blowfish,True,False,"blows, blois, brownish"
blowfly,True,False,"lowly, slowly, bowl"
blubber fish,True,False,"blubber, blubbering, lubber"
blue catfish,True,False,bluish
blue heron,True,False,"lutheran, luncheon, leathern"
blue jay,True,False,blue
blue marlin,True,False,"berlin, marline, learnin"
blue shark,True,False,"shark, blush, blueskin"
blue whale,True,False,"whale, bewailed, beale"
bluebill,True,False,"bluebells, buell, bluebird"
bluebird,True,True,"bluebird, bluebeard, blustered"
bluefin,True,False,"blueskin, blueskins, blue"
bluefin tuna,False,False,No close match found
bluefish,True,False,"bluish, blemish, blush"
bluefooted booby,False,False,No close match found
bluegill,True,False,"buell, luella, bluebells"
